id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_kunjungan,satuan,tahun
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1 KALI (KN 1),107.9,PERSEN,2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3 KALI (KN LENGKAP),106.1,PERSEN,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1 KALI (KN 1),113.3,PERSEN,2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3 KALI (KN LENGKAP),112.8,PERSEN,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1 KALI (KN 1),111.8,PERSEN,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3 KALI (KN LENGKAP),110.7,PERSEN,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,1 KALI (KN 1),132.7,PERSEN,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,3 KALI (KN LENGKAP),131.9,PERSEN,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1 KALI (KN 1),113.7,PERSEN,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3 KALI (KN LENGKAP),112.2,PERSEN,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1 KALI (KN 1),110.0,PERSEN,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3 KALI (KN LENGKAP),109.6,PERSEN,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1 KALI (KN 1),117.2,PERSEN,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3 KALI (KN LENGKAP),117.1,PERSEN,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,1 KALI (KN 1),138.3,PERSEN,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,3 KALI (KN LENGKAP),136.4,PERSEN,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),108.4,PERSEN,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),107.1,PERSEN,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),106.1,PERSEN,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),105.4,PERSEN,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),102.1,PERSEN,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),151.5,PERSEN,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),92.7,PERSEN,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),91.2,PERSEN,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),107.4,PERSEN,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),106.9,PERSEN,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),98.5,PERSEN,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),98.3,PERSEN,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),108.2,PERSEN,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),107.1,PERSEN,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),88.0,PERSEN,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),81.8,PERSEN,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),99.5,PERSEN,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),98.3,PERSEN,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),98.8,PERSEN,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),95.2,PERSEN,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),97.6,PERSEN,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),92.9,PERSEN,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),95.5,PERSEN,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),93.6,PERSEN,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),105.2,PERSEN,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3 KALI (KN LENGKAP),104.6,PERSEN,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,1 KALI (KN 1),104.7,PERSEN,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,3 KALI (KN LENGKAP),152.4,PERSEN,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1 KALI (KN 1),100.6,PERSEN,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,3 KALI (KN LENGKAP),97.4,PERSEN,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1 KALI (KN 1),108.6,PERSEN,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3 KALI (KN LENGKAP),105.8,PERSEN,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1 KALI (KN 1),101.4,PERSEN,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3 KALI (KN LENGKAP),99.6,PERSEN,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1 KALI (KN 1),94.7,PERSEN,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3 KALI (KN LENGKAP),94.2,PERSEN,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,1 KALI (KN 1),93.5,PERSEN,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,3 KALI (KN LENGKAP),100.8,PERSEN,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1 KALI (KN 1),99.6,PERSEN,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3 KALI (KN LENGKAP),98.8,PERSEN,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1 KALI (KN 1),98.6,PERSEN,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3 KALI (KN LENGKAP),97.8,PERSEN,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1 KALI (KN 1),99.9,PERSEN,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3 KALI (KN LENGKAP),98.4,PERSEN,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,1 KALI (KN 1),100.0,PERSEN,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,3 KALI (KN LENGKAP),99.3,PERSEN,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1 KALI (KN 1),100.0,PERSEN,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3 KALI (KN LENGKAP),99.5,PERSEN,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1 KALI (KN 1),98.9,PERSEN,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3 KALI (KN LENGKAP),98.2,PERSEN,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1 KALI (KN 1),99.6,PERSEN,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3 KALI (KN LENGKAP),101.3,PERSEN,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,1 KALI (KN 1),100.0,PERSEN,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,3 KALI (KN LENGKAP),98.5,PERSEN,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1 KALI (KN 1),110.9,PERSEN,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3 KALI (KN LENGKAP),110.1,PERSEN,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1 KALI (KN 1),103.5,PERSEN,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3 KALI (KN LENGKAP),98.4,PERSEN,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,1 KALI (KN 1),105.1,PERSEN,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,3 KALI (KN LENGKAP),103.8,PERSEN,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1 KALI (KN 1),94.2,PERSEN,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3 KALI (KN LENGKAP),92.1,PERSEN,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1 KALI (KN 1),112.9,PERSEN,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3 KALI (KN LENGKAP),112.3,PERSEN,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,1 KALI (KN 1),99.6,PERSEN,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,3 KALI (KN LENGKAP),99.1,PERSEN,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,1 KALI (KN 1),99.8,PERSEN,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,3 KALI (KN LENGKAP),98.0,PERSEN,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,1 KALI (KN 1),0.0,PERSEN,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,3 KALI (KN LENGKAP),88.4,PERSEN,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,1 KALI (KN 1),102.3,PERSEN,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,3 KALI (KN LENGKAP),96.5,PERSEN,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,1 KALI (KN 1),99.9,PERSEN,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,3 KALI (KN LENGKAP),93.5,PERSEN,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,1 KALI (KN 1),103.0,PERSEN,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,3 KALI (KN LENGKAP),100.8,PERSEN,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,1 KALI (KN 1),97.9,PERSEN,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,3 KALI (KN LENGKAP),94.0,PERSEN,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1 KALI (KN 1),97.5,PERSEN,2021
